track_name,track_id,track_uri,artist_name,album_name,album_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature,popularity,release_date,genre
La niña fresa,2nbq7IAJfYK9fuw5g2ePv3,spotify:track:2nbq7IAJfYK9fuw5g2ePv3,Banda Zeta,Fiesta Mexicana Con La Banda,spotify:album:6X49e9OtUqhMVIpre31k8K,0.864,0.662,11,-10.182,1,0.0977,0.125,0.0,0.148,0.964,136.48,spotify:track:2nbq7IAJfYK9fuw5g2ePv3,160626,4,57,2007-10,Latin
What's Love Got to Do with It,6FcQD1qOpqV8NdhY45sKyI,spotify:track:6FcQD1qOpqV8NdhY45sKyI,Tina Turner,Simply the Best,spotify:album:1ZFC0iOKUp4M16eHXVaeG4,0.851,0.406,1,-11.631,1,0.0662,0.219,6.79e-06,0.0853,0.793,97.84,spotify:track:6FcQD1qOpqV8NdhY45sKyI,226880,4,53,1991-01,Pop
TATTOO,4kGGnJmqYqn6RQ9LMfvPcv,spotify:track:4kGGnJmqYqn6RQ9LMfvPcv,elaggume,TATTOO,spotify:album:2pT9dWP5sqm4FipajPLVpw,0.862,0.687,11,-5.975,0,0.18,0.187,0.0,0.178,0.578,97.92,spotify:track:4kGGnJmqYqn6RQ9LMfvPcv,136064,4,58,2024-05,Latin
We Ain't Here For Long,7La5MwfZp7t0oKCYbhIMXj,spotify:track:7La5MwfZp7t0oKCYbhIMXj,Nathan Dawe,We Ain't Here For Long,spotify:album:1Mc6KVLxv3JsxeqfB16jAD,0.684,0.928,9,-4.055,1,0.0598,0.135,0.00561,0.067,0.534,134.919,spotify:track:7La5MwfZp7t0oKCYbhIMXj,175835,4,56,2024-02,House
Angel Numbers Amapiano - Remix,2MUaYdeAtYPEzGbqR2HlOj,spotify:track:2MUaYdeAtYPEzGbqR2HlOj,Chquan,Angel Numbers Amapiano (Remix),spotify:album:1yS6vzStharAFX8rmy3FRT,0.706,0.614,6,-9.271,0,0.0387,0.0227,0.517,0.253,0.24,124.99,spotify:track:2MUaYdeAtYPEzGbqR2HlOj,184476,4,53,2024-07,Not Found
Weightless,6yLqJRI9mDiMNlviGG1X8i,spotify:track:6yLqJRI9mDiMNlviGG1X8i,Soothing Oasis,Weightless,spotify:album:3odsLiDCtAxzrfc8hfM029,0.15,0.0259,5,-34.418,1,0.0437,0.979,0.355,0.0947,0.0362,136.456,spotify:track:6yLqJRI9mDiMNlviGG1X8i,125221,3,55,2024-10,New Age
You Said,2k5rWMAz9RvFS3k3kk3cc5,spotify:track:2k5rWMAz9RvFS3k3kk3cc5,Connor Price,You Said,spotify:album:0RCxiP3V5WEl9LY3KS9mxP,0.726,0.481,0,-8.254,1,0.207,0.141,0.0,0.155,0.224,79.978,spotify:track:2k5rWMAz9RvFS3k3kk3cc5,135000,4,55,2021-07,R&B/Soul
03',47gzGfR4JfKC6aT5lM0wpn,spotify:track:47gzGfR4JfKC6aT5lM0wpn,Sainté,Out the Blue,spotify:album:5sTHywyZLnzU34tjOfdviE,0.836,0.617,5,-5.954,0,0.102,0.537,0.0,0.102,0.709,130.065,spotify:track:47gzGfR4JfKC6aT5lM0wpn,114461,4,57,2021-10,UK Hip-Hop
Nobody Knows,3vF2wvLHg3QK1MwqeiUOUb,spotify:track:3vF2wvLHg3QK1MwqeiUOUb,Ape Drums,Nobody Knows,spotify:album:59NaZf5szsgzHSG6tYLOAp,0.636,0.759,4,-5.62,0,0.0416,0.0202,0.0144,0.382,0.143,120.074,spotify:track:3vF2wvLHg3QK1MwqeiUOUb,261250,4,58,2024-03,House
Save a Prayer - Single Version,5zNf8MI40Us66R3zutaxvt,spotify:track:5zNf8MI40Us66R3zutaxvt,Duran Duran,Greatest,spotify:album:7xbWtTByfdMWFfxXmeFFl0,0.59,0.663,7,-9.224,1,0.0315,0.141,0.0,0.0935,0.639,113.443,spotify:track:5zNf8MI40Us66R3zutaxvt,225840,4,51,1998-11,Rock
Come Into The Light,7rIKOEctlLMxtRgGheUeXb,spotify:track:7rIKOEctlLMxtRgGheUeXb,TAYA,Come Into The Light,spotify:album:1tQdKADUZhcP6yl3o0J5TH,0.347,0.487,8,-7.537,1,0.0321,0.0852,0.0,0.0614,0.102,110.16,spotify:track:7rIKOEctlLMxtRgGheUeXb,270496,5,52,2024-10,Hip-Hop/Rap
Siren,4xb8JHIN56xixSl6vkSPjm,spotify:track:4xb8JHIN56xixSl6vkSPjm,Kailee Morgue,Siren,spotify:album:4VVcfdD0w5pUHN96udQQsi,0.603,0.512,10,-6.687,0,0.0402,0.454,0.00014,0.154,0.271,145.91,spotify:track:4xb8JHIN56xixSl6vkSPjm,200266,4,58,2018-08,Alternative
Bundle of Joy,2ZosoKioRi0SEFODWFKfsJ,spotify:track:2ZosoKioRi0SEFODWFKfsJ,Jartisto,Inside Out: Music from the Motion Picture for Solo Piano and Lullaby,spotify:album:01wWiXSVRt3Jox7Cu7LIUS,0.461,0.0605,9,-30.646,0,0.0926,0.98,0.947,0.0929,0.195,126.556,spotify:track:2ZosoKioRi0SEFODWFKfsJ,174327,4,52,2016-06,Ambient
Love Generation,15lV6FJ46eb756jcKTGp7p,spotify:track:15lV6FJ46eb756jcKTGp7p,Bob Sinclar,Western Dream,spotify:album:2kscq6zA1a9vFQy8MsWFM0,0.72,0.8,1,-5.045,1,0.0818,0.18,0.000303,0.115,0.518,128.099,spotify:track:15lV6FJ46eb756jcKTGp7p,532840,4,54,2006-01,Electronic
Dilbara,4kUWdUJZnxWMxY31AzorKa,spotify:track:4kUWdUJZnxWMxY31AzorKa,Pritam,Dhoom,spotify:album:6Z49LnmV2rjlk9sDVFgPHT,0.87,0.747,6,-5.971,0,0.118,0.251,0.0,0.0532,0.817,130.032,spotify:track:4kUWdUJZnxWMxY31AzorKa,272169,4,52,2004-07,Bollywood
Spiderhead,5r5Lj2MkgwQJz6TaBdL865,spotify:track:5r5Lj2MkgwQJz6TaBdL865,Cage The Elephant,Melophobia,spotify:album:4EK8gtQfdVsmDTji7gBFlz,0.543,0.946,2,-0.734,1,0.0454,0.00614,1.49e-05,0.106,0.547,117.962,spotify:track:5r5Lj2MkgwQJz6TaBdL865,222813,4,57,2013-10,Alternative
Isso Vale Minha Vida,4R3Iab1DVYX8NBHNpGWv2T,spotify:track:4R3Iab1DVYX8NBHNpGWv2T,Sid,Isso Vale Minha Vida,spotify:album:7irwALrezHX6lqJztPUJ3M,0.803,0.835,6,-4.4,1,0.424,0.567,0.0,0.0668,0.826,143.926,spotify:track:4R3Iab1DVYX8NBHNpGWv2T,157343,4,55,2020-03,Hip-Hop/Rap
